Kecamatan,Tanggal,Curah Hujan,Debit Air,Muka Air,Tinggi Banjir,Banjir Ya/Tidak
Dayeuhkolot,2020-05-31,-,42.9,5.21,-,0
Cipanas - Margamukti,2020-06-01,-,"4,21","0,66",-,0
Dayeuhkolot,2020-06-01,-,45.07,5.32,-,0
Cipanas - Margamukti,2020-06-02,-,"4,43","0,67",-,0
Dayeuhkolot,2020-06-02,-,33.58,4.73,-,0
Cipanas - Margamukti,2020-06-03,2,"3,96","0,63",-,0
Dayeuhkolot,2020-06-03,-,26.83,4.34,-,0
Cipanas - Margamukti,2020-06-04,-,"3,69","0,62",-,0
Dayeuhkolot,2020-06-04,-,24.88,4.23,-,0
Cipanas - Margamukti,2020-06-05,1,"3,91","0,63",-,0
Dayeuhkolot,2020-06-05,-,22.38,4.06,-,0
Cipanas - Margamukti,2020-06-06,-,"4,31","0,66",-,0
Dayeuhkolot,2020-06-06,10.5,25.27,4.29,-,0
Cipanas - Margamukti,2020-06-07,-,"4,13","0,64",-,0
Dayeuhkolot,2020-06-07,-,22.58,4.1,-,0
Cipanas - Margamukti,2020-06-08,-,"3,14","0,56",-,0
Dayeuhkolot,2020-06-08,-,21.98,4.08,-,0
Cipanas - Margamukti,2020-06-09,-,"2,98","0,55",-,0
Dayeuhkolot,2020-06-09,2.0,25.18,4.31,-,0
Cipanas - Margamukti,2020-06-10,6,"3,38","0,58",-,0
Dayeuhkolot,2020-06-10,-,28,4.52,-,0
Cipanas - Margamukti,2020-06-11,1,"2,37","0,48",-,0
Dayeuhkolot,2020-06-11,39.5,26.48,4.39,-,0
Cipanas - Margamukti,2020-06-12,-,"2,06","0,45",-,0
Dayeuhkolot,2020-06-12,-,25.35,4.33,-,0
Cipanas - Margamukti,2020-06-13,-,"1,96","0,43",-,0
Dayeuhkolot,2020-06-13,-,20.18,3.94,-,0
Cipanas - Margamukti,2020-06-14,-,"1,7","0,4",-,0
Dayeuhkolot,2020-06-14,-,17.78,3.77,-,0
Cipanas - Margamukti,2020-06-15,-,"1,46","0,37",-,0
Dayeuhkolot,2020-06-15,-,17.53,3.75,-,0
Cipanas - Margamukti,2020-06-16,2,"1,36","0,35",-,0
