Kecamatan,Tanggal,Curah Hujan,Debit Air,Muka Air,Tinggi Banjir,Banjir Ya/Tidak
Dayeuhkolot,2021-12-26,-,86.95,5.4,-,0
Cisondari,2021-12-27,"2,5","38,64","0,86",-,0
Dayeuhkolot,2021-12-27,2.5,72.18,4.88,-,0
Cisondari,2021-12-28,"2,5","41,6","0,91",-,0
Dayeuhkolot,2021-12-28,-,70.61,4.83,-,0
Cisondari,2021-12-29,"18,5","62,37","1,18",-,0
Dayeuhkolot,2021-12-29,4.5,74.21,4.96,-,0
Cisondari,2021-12-30,2,"51,73","1,03",-,0
Dayeuhkolot,2021-12-30,-,81.18,5.21,-,0
Cisondari,2021-12-31,-,"35,13","0,81",-,0
Dayeuhkolot,2021-12-31,6,75.08,4.99,-,0
Ciluluk,2022-11-01,42.5,3.67 *,1.72,-,0
Dayeuhkolot,2022-11-01,42,60.66,4.06,-,0
Ciluluk,2022-11-02,0,8.19,1.61,-,0
Dayeuhkolot,2022-11-02,1.5,85.34,4.99,-,0
Ciluluk,2022-11-03,4,10.18,2.13,-,0
Dayeuhkolot,2022-11-03,12.5,80.51,4.8,-,0
Ciluluk,2022-11-04,1,6.96,2.28,-,0
Dayeuhkolot,2022-11-04,18,75.24,4.61,-,0
Ciluluk,2022-11-05,10.5,6.53,2,-,0
Dayeuhkolot,2022-11-05,6,89.33,5.12,-,0
Bojongsoang,2022-11-06,7,88.33,05.07,"0,2",1
Dayeuhkolot,2022-11-06,7,88.33,5.07,"0,2",1
Cileunyi,2022-11-07,9.5,10.79,2.33,"0,3",1
Dayeuhkolot,2022-11-07,23.5,91.28,5.17,"0,3",1
Ciluluk,2022-11-08,5,10.77,2.33,-,0
Dayeuhkolot,2022-11-08,0,88.73,5.08,-,0
Ciluluk,2022-11-09,10.5,9.14,2.33,-,0
Dayeuhkolot,2022-11-09,0,81.49,4.84,-,0
Ciluluk,2022-11-10,7.5,9.17,2.19,-,0
Dayeuhkolot,2022-11-10,24.5,84.33,4.95,-,0
Ciluluk,2022-11-11,15.5,9.51,2.2,-,0
Dayeuhkolot,2022-11-11,4,86.38,5,-,0
Ciluluk,2022-11-12,28,13.93,2.23,-,0
Dayeuhkolot,2022-11-12,3,111.54,5.8,-,0
Ciluluk,2022-11-13,7.5,24.67,2.55,-,0
Dayeuhkolot,2022-11-13,6,109.21,5.7,-,0
Soreang,2022-11-14,7.5,109.5,5.72,"0,4",1
Dayeuhkolot,2022-11-14,7.5,109.5,5.72,"0,4",1
Cipanas,2022-11-15,-,"14,88","0,85",-,0
Dayeuhkolot,2022-11-15,-,106.56,5.62,-,0
Cipanas,2022-11-16,-,"13,6","0,78",-,0
Dayeuhkolot,2022-11-16,0,87.36,5.03,-,0
Cipanas,2022-11-17,-,"13,83","0,79",-,0
Dayeuhkolot,2022-11-17,0,76.58,4.67,-,0
Cipanas,2022-11-18,15,"13,14","0,75",-,0
Dayeuhkolot,2022-11-18,17,73.75,4.57,-,0
Cipanas,2022-11-19,-,"13,82","0,79",-,0
Dayeuhkolot,2022-11-19,-,92.61,5.22,-,0
Cipanas,2022-11-20,-,"12,4","0,7",-,0
Dayeuhkolot,2022-11-20,-,72.48,4.51,-,0
Cipanas,2022-11-21,38,"12,17","0,68",-,0
Dayeuhkolot,2022-11-21,-,63.73,4.18,-,0
Cipanas,2022-11-22,0,"11,84","0,66",-,0
Dayeuhkolot,2022-11-22,3,61.83,4.11,-,0
Cipanas,2022-11-23,6,"11,83","0,66",-,0
Dayeuhkolot,2022-11-23,0,69.02,4.4,-,0
Cipanas,2022-11-24,4,"11,96","0,66",-,0
Dayeuhkolot,2022-11-24,0,71.92,4.51,-,0
Cipanas,2022-11-25,10,"11,59","0,63",-,0
Dayeuhkolot,2022-11-25,5,83.77,4.93,-,0
Cipanas,2022-11-26,19,"12,7","0,7",-,0
Dayeuhkolot,2022-11-26,11.5,106.16,5.64,-,0
Cipanas,2022-11-27,-,"12,31","0,67",-,0
Dayeuhkolot,2022-11-27,0,114.19,5.85,-,0
Dayeuhkolot,2022-11-28,57.5,110.77,5.73,"0,4",1
Dayeuhkolot,2022-11-29,11.5,103.29,5.51,3,1
Cipanas,2022-11-30,3,"15,04","0,75",-,0
Dayeuhkolot,2022-11-30,-,96.23,5.32,-,0
Cipanas,2022-12-01,22,"12,43","0,66",-,0
Dayeuhkolot,2022-12-01,1.5,82.54,4.87,-,0
Dayeuhkolot,2022-12-02,9.5,129.27,6.28,1,1
Cipanas,2022-12-03,32,"21,34","1,1",-,0
Dayeuhkolot,2022-12-03,15,138.77,6.49,-,0
Cipanas,2022-12-04,35,"22,75","1,16",-,0
Dayeuhkolot,2022-12-04,5.5,128.91,6.24,-,0
Cipanas,2022-12-05,12,"18,76","0,97",-,0
Dayeuhkolot,2022-12-05,27.5,134.18,6.39,-,0
Cipanas,2022-12-06,"31,5",17,"0,89",-,0
Dayeuhkolot,2022-12-06,6.5,129.41,6.25,-,0
Cipanas,2022-12-07,2,"16,67","0,88",-,0
Dayeuhkolot,2022-12-07,30,116.51,5.91,-,0
Cipanas,2022-12-08,41,"18,47","0,96",-,0
Dayeuhkolot,2022-12-08,14,123.81,6.11,-,0
Cipanas,2022-12-09,3,"17,49","0,9",-,0
Dayeuhkolot,2022-12-09,-,113.7,5.83,-,0
Cipanas,2022-12-10,-,"16,2","0,84",-,0
Dayeuhkolot,2022-12-10,-,98.87,5.4,-,0
Cipanas,2022-12-11,-,"15,66","0,81",-,0
Dayeuhkolot,2022-12-11,0,88.49,5.07,-,0
Cipanas,2022-12-12,20,"16,71","0,86",-,0
Dayeuhkolot,2022-12-12,53.5,126.2,6.19,-,0
Cipanas,2022-12-13,-,"16,11","0,82",-,0
Dayeuhkolot,2022-12-13,0,121.46,6.03,-,0
Cipanas,2022-12-14,4,"16,79","0,86",-,0
Dayeuhkolot,2022-12-14,08.05,98.98,5.4,-,0
Cipanas,2022-12-15,"9,5","21,85","1,09",-,0
Dayeuhkolot,2022-12-15,10,107.39,5.67,-,0
Cipanas,2022-12-16,9,"18,51","0,92",-,0
Dayeuhkolot,2022-12-16,14.5,113.3,5.83,-,0
Rancaekek,2022-12-17,39,30.23,3.0,"0,3",1
Dayeuhkolot,2022-12-17,3,121,6.04,"0,3",1
Cipanas,2022-12-18,2,"19,07","0,95",-,0
Dayeuhkolot,2022-12-18,20,130.98,6.31,-,0
Rancaekek,2022-12-19,0,40.22,3.35,"0,5",1
Dayeuhkolot,2022-12-19,0,127.66,6.21,"0,5",1
Cipanas,2022-12-20,2,"16,42","0,82",-,0
Dayeuhkolot,2022-12-20,5.5,112.71,5.8,-,0
Cipanas,2022-12-21,5,"19,22","0,96",-,0
Dayeuhkolot,2022-12-21,-,100.09,5.43,-,0
Cipanas,2022-12-22,14,"16,75","0,83",-,0
Dayeuhkolot,2022-12-22,0,86.74,5.01,-,0
Cipanas,2022-12-23,4,"15,53","0,78",-,0
Dayeuhkolot,2022-12-23,-,81.15,4.83,-,0
Cipanas,2022-12-24,5,"14,66","0,73",-,0
Dayeuhkolot,2022-12-24,8.5,75.33,4.62,-,0
Cipanas,2022-12-25,"8,5","15,07","0,75",-,0
Dayeuhkolot,2022-12-25,5.5,75.6,4.64,-,0
Cipanas,2022-12-26,29,"15,53","0,78",-,0
Dayeuhkolot,2022-12-26,16,80.69,4.82,-,0
Cipanas,2022-12-27,1,"16,45","0,82",-,0
Dayeuhkolot,2022-12-27,-,98.42,5.4,-,0
Cipanas,2022-12-28,12,"15,09","0,75",-,0
Dayeuhkolot,2022-12-28,0,78.83,4.74,-,0
Cipanas,2022-12-29,1,"15,65","0,78",-,0
Dayeuhkolot,2022-12-29,13,73.64,4.56,-,0
Cipanas,2022-12-30,3,"15,04","0,75",-,0
Dayeuhkolot,2022-12-30,0,79.95,4.8,-,0
Cipanas,2022-12-31,4,"16,18","0,81",-,0
